url,title,published_at,analysis_keywords,analysis_orgs,summary_ai,sentiment_label
http://www.sisunnews.co.kr/news/articleView.html?idxno=227369,"트럼프, 국가별 상호관세율 행정명령 서명...韓美 '15%' 8월 7일 발효 外...",2025-08-01,"['상호관세율', '무역협상', '세제개편안', '법인세 인상', '기업규제']","['미국', '한국', '국민의힘', '백악관', '국경세관 당국']","트럼프 대통령이 한국산 제품에 대한 상호관세율을 15%로 낮추는 행정명령에 서명했으며, 8월 7일부터 시행될 예정입니다.  한편, 국민의힘은 정부의 세제개편안을 강하게 비판하며 법인세 인상 등 기업 규제에 대한 우려를 표명했습니다.",Neutral
http://www.joongang.tv/news/articleView.html?idxno=156586,한동훈 &quot;증시 폭락하는데 세금 올리겠다니…청년·소액투자자 두 번 울...,2025-08-01,"['증권거래세', '세금정책', '투자']",[],"증권거래세를 통행세에 비유하며, 투자 경험 없는 사람이 세금 정책을 주도하는 것에 대한 우려를 표명하고 있습니다.",Negative
https://www.seoul.co.kr/news/economy/finance/2025/08/01/20250801500102?wlog_tag3=naver,환율 1400원 재돌파…트럼프 리스크에 달러 강세 심화,2025-08-01,"['코스피', '주가', '경제지표', '금리', '투자심리']",[],"해당 기사는 한국어가 아닌 다른 언어로 작성되어 정확한 내용 파악이 어렵습니다.  코스피 지수와 관련된 내용을 다루고 있으며, 주가 변동과 경제 지표에 대한 언급이 있는 것으로 추정됩니다.",Neutral
https://www.stardailynews.co.kr/news/articleView.html?idxno=496351,"솔루엠 목표주가와 괴리 확대, 투자심리 위축",2025-08-01,"['코스피', '솔루엠', '주가하락']",['솔루엠'],"8월 1일 오전 11시 48분 기준, 코스피 상장사 솔루엠 주가가 전일 대비 3.57% 하락한 15,940원에 거래되고 있습니다. 장 초반에는 16,510원에 출발했으나 장중 15,820원까지 하락 후 소폭 반등했습니다.",Negative
https://www.topstarnews.net/news/articleView.html?idxno=15754787,"코스피 장중 3,150대 후퇴…코스닥 3% 급락, 외국인·기관 대규모 매도",2025-08-01,"['코스피', '코스닥', '주가하락', '외국인 매도', '기관 매도']","['삼성전자', 'SK하이닉스', 'LG에너지솔루션', '삼성바이오로직스', '한화에어로스페이스', 'KB금융', '신한지주', '현대차', '기아', '한화오션', '알테오젠', '에코프로비엠', '에코프로', '펩트론', 'HLB', '파마리서치', 'HK이노엔']","외국인과 기관의 매도세 지속으로 코스피가 장중 3% 가까이 하락하고 코스닥도 3% 넘게 급락했습니다.  삼성전자, SK하이닉스 등 대형주와 바이오, 2차전지주가 하락세를 보였으며, 투자심리 위축으로 시장 전반에 약세가 나타났습니다.",Negative
https://www.ddaily.co.kr/page/view/2025080111384927101,'세제개편안' 아쉬웠나… 금융·증권·고배당ETF 주가 일제히 약세,2025-08-01,"['코스피', '주가하락', 'KB금융', '신한지주']","['KB금융', '신한지주']","오전 11시 기준 코스피 지수가 전일 대비 2.91% 하락한 3150.92를 기록하고 있으며, 장중 100포인트 넘게 하락하기도 했습니다. KB금융과 신한지주 등 금융주도 하락세를 보였습니다.",Negative
http://www.weeklytoday.com/news/articleView.html?idxno=714367,"[위클리오늘] 李정부, 주식시장 '증세'로 개인투자자 뒤통수…장중 코스...",2025-08-01,"['코스피', '주가급락', '증세', '이재명 정부', '증시부양']","['이재명 정부', '한국거래소']",이재명 정부의 증세 추진으로 코스피 지수가 장중 3% 넘게 급락했습니다.  주식시장에 대한 증세가 증시 부양과 역행하는 모습을 보이고 있습니다.,Negative
https://www.jibs.co.kr/news/articles/articlesDetail/50105?feed=na,"“국장? 바보나 한다”.. 대주주 10억 회귀에 청원 2만 돌파, 개미 탈출...",2025-08-01,"['코스피', '투자심리', '회피매도', '주가하락']",[],"투자자들은 국내 증시에 대한 부정적인 전망을 내놓고 있으며, 연말 증시 회피 매도와 코스피 2000대 진입 가능성을 우려하고 있습니다. 코스피 2000선 하락 시 대주주 범위 확대로 인한 추가적인 시장 약세가 예상됩니다.",Negative
https://www.munhwa.com/article/11523129?ref=naver,"증권거래세 원상복귀, 코스피 부흥과 배치… “투자 위축 불보듯”",2025-08-01,"['증권거래세', '세제개편안', '대주주 기준', '투자자 반발', '세수효과']","['기획재정부', '더불어민주당']","정부의 증권거래세율 인상 및 대주주 기준 강화 결정에 개미와 기관 투자자들의 거센 반발이 일고 있습니다.  민주당 내부에서도 코스피 5000 목표에 역행하는 조치라는 비판이 제기되고 있으며, 향후 5년간 11조 5000억원의 세수 효과가 예상됩니다.",Negative
https://news.einfomax.co.kr/news/articleView.html?idxno=4367857,"민주, 증시 개미들 반발 산 '세제개편안' 조세특위서 손볼까",2025-08-01,"['세제개편', '코스피 5000', '주식세금', '대주주']",['더불어민주당'],더불어민주당 내에서 정부의 주식 관련 세제 개편안이 코스피 5000 목표 달성에 역행한다는 비판이 제기되고 있습니다.  10억원 이상 주식 보유자에 대한 대주주 과세 강화에 대한 우려가 표명되고 있습니다.,Negative
